Bitcoin,BTC,$16874.07
Ethereum,ETH,$1223.56
Tether,USDT,$1.02
USD Coin,USDC,$1.00
BNB,BNB,$272.76
Binance USD,BUSD,$0.9998
XRP,XRP,$0.3889
Dogecoin,DOGE,$0.086
Cardano,ADA,$0.3302
Polygon,MATIC,$0.8952
Polkadot,DOT,$5.78
Dai,DAI,$1.02
HEX,HEX,$0.03089
Wrapped TRON,WTRX,$0.04994
Shiba Inu,SHIB,$0.000009235
Solana,SOL,$14.43
TRON,TRX,$0.04999
Litecoin,LTC,$63.35
Uniswap,UNI,$5.92
Lido stETH,stETH,$1189.00
Wrapped Bitcoin,WBTC,$17002.78
Avalanche,AVAX,$13.19
UNUS SED LEO,LEO,$4.02
Chainlink,LINK,$6.37
Cosmos,ATOM,$10.13
Ethereum Classic,ETC,$19.89
Monero,XMR,$132.56
Stellar,XLM,$0.09234
Toncoin,TON,$1.81
Bitcoin Cash,BCH,$106.26
Algorand,ALGO,$0.2708
Cronos,CRO,$0.07074
Bitcoin BEP2,BTCB,$16672.41
NEAR Protocol,NEAR,$1.86
Quant,QNT,$123.17
Chiliz,CHZ,$0.2419
VeChain,VET,$0.01989
Filecoin,FIL,$4.40
Flow,FLOW,$1.22
Frax,FRAX,$0.9907
Hedera,HBAR,$0.05165
OKB,OKB,$18.77
Chain,XCN,$0.04853
Wrapped BNB,WBNB,$267.95
Internet Computer,ICP,$3.84
Luna Classic,LUNC,$0.0001898
Elrond,EGLD,$44.17
EOS,EOS,$0.916
Pax Dollar,USDP,$0.9981
Trust Wallet Token,TWT,$2.15
Tezos,XTZ,$0.9967
ApeCoin,APE,$2.94
Theta Network,THETA,$0.883
The Sandbox,SAND,$0.5891
TrueUSD,TUSD,$1.01
Aave,AAVE,$60.07
Venus BNB,vBNB,$9.44
Decentraland,MANA,$0.4369
Bitcoin SV,BSV,$39.40
Huobi Token,HT,$4.66
USDD,USDD,$0.9849
KuCoin Token,KCS,$7.26
Axie Infinity,AXS,$7.31
Gemini Dollar,GUSD,$1.01
Huobi BTC,HBTC,$16677.94
BitTorrent (Old),BTTOLD,$0.0006547
Maker,MKR,$676.27
Neutrino USD,USDN,$0.9326
BitTorrent,BTT,$0.0000006669
Zcash,ZEC,$39.67
BitDAO,BIT,$0.2991
IOTA,MIOTA,$0.219
Aptos,APT,$4.75
PAX Gold,PAXG,$1787.07
PancakeSwap,CAKE,$3.78
eCash,XEC,$0.00002857
BinaryX,BNX,$152.68
Synthetix,SNX,$1.78
FTX Token,FTT,$1.55
Klaytn,KLAY,$0.1709
WEMIX,WEMIX,$1.56
Neo,NEO,$6.75
Fantom,FTM,$0.1823
Tether Gold,XAUT,$1745.39
Fei USD,FEI,$0.9845
The Graph,GRT,$0.06211
Mina,MINA,$0.5705
ETHPoW,ETHW,$3.78
Nexo,NEXO,$0.704
THORChain,RUNE,$1.24
GateToken,GT,$3.63
Lido DAO Token,LDO,$1.28
Dash,DASH,$34.40
GensoKishi Metaverse,MV,$0.1964
Basic Attention Token,BAT,$0.2268
Arweave,AR,$10.17
Loopring,LRC,$0.2511
Counos X,CCXX,$18.59
1inch Network,1INCH,$0.5264
Helium,HNT,$2.72
XDC Network,XDC,$0.02589
GMX,GMX,$41.08
Osmosis,OSMO,$1.13
Stacks,STX,$0.2314
Enjin Coin,ENJ,$0.312
Kava,KAVA,$0.954
Curve DAO Token,CRV,$0.5643
Zilliqa,ZIL,$0.02181
NEM,XEM,$0.0318
Compound,COMP,$40.19
Decred,DCR,$19.63
Casper,CSPR,$0.0287
Convex Finance,CVX,$4.11
Immutable X,IMX,$0.4125
Holo,HOT,$0.001571
Ethereum Name Service,ENS,$13.20
NXM,NXM,$39.50
Bitcoin Gold,BTG,$14.82
Waves,WAVES,$2.37
Ravencoin,RVN,$0.02169
Balancer,BAL,$5.69
DeFiChain,DFI,$0.4842
Fruits,FRTS,$0.01166
Green Metaverse Token,GMT,$0.3948
Oasis Network,ROSE,$0.04773
IoTeX,IOTX,$0.02502
Mirrored ProShares VIX,mVIXY,$106.15
Gnosis,GNO,$91.27
Theta Fuel,TFUEL,$0.0433
yearn.finance,YFI,$6164.09
SwissBorg,CHSB,$0.2189
TerraClassicUSD,USTC,$0.02233
Luna,LUNA,$1.68
Qtum,QTUM,$2.09
Optimism,OP,$0.9297
Celo,CELO,$0.4433
Kusama,KSM,$24.73
Ankr,ANKR,$0.02144
Golem,GLM,$0.2074
